distance_from_center_km,area_m2,floor,district,rent_pln,price_pln
11.91,67.0,3,Targówek,844,680434
1.51,51.6,10,Wola,810,983374
0.3,65.4,1,Śródmieście,780,1448550
11.32,64.0,14,Ursynów,1061,859833
3.89,68.7,14,Wola,1126,1155363
3.22,66.5,2,Wola,1079,1044769
2.64,47.0,6,Śródmieście,811,997164
7.0,63.3,7,Targówek,791,930641
4.37,66.8,11,Żoliborz,740,1234974
10.15,31.8,12,Bemowo,291,264275
8.53,50.1,5,Praga-Południe,878,722821
7.6,65.9,10,Bemowo,780,946669
9.54,85.8,4,Bielany,1239,947552
14.46,69.8,12,Białołęka,1037,547000
6.2,86.9,0,Praga-Południe,1365,1301567
7.99,47.8,7,Bielany,716,552307
7.34,59.5,2,Ursynów,639,824665
15.16,69.5,14,Białołęka,871,647046
4.06,20.0,5,Mokotów,250,445710
0.3,82.2,2,Śródmieście,1255,1908859
7.06,21.5,6,Praga-Południe,344,254074
6.95,72.9,12,Praga-Południe,902,961185
10.09,67.4,13,Wilanów,1069,1027642
10.3,20.0,6,Ursynów,344,250000
6.21,20.0,11,Żoliborz,286,257629
4.57,80.8,14,Wola,1409,1597323
13.37,76.9,8,Białołęka,837,912093
10.22,39.1,15,Ursynów,356,612228
4.25,39.1,4,Praga-Północ,617,504843
10.07,64.2,14,Targówek,865,855097
2.85,54.8,7,Wola,867,837239
0.57,74.0,9,Śródmieście,1141,1581119
2.26,63.6,9,Wola,1116,1146110
4.73,83.5,15,Żoliborz,731,1358294
11.56,72.5,7,Ursus,1020,900962
10.58,68.0,0,Wilanów,733,962278
3.42,48.7,11,Wola,575,780026
1.81,47.3,4,Śródmieście,711,1074386
4.23,54.1,2,Żoliborz,546,975444
7.95,88.1,0,Bemowo,1079,1222311
4.85,47.7,3,Praga-Południe,597,678852
12.17,59.7,7,Ursus,783,679524
10.56,20.0,2,Wilanów,461,257458
3.77,67.2,15,Praga-Południe,1190,1225405
9.32,95.6,15,Targówek,1301,1147461
10.26,38.2,9,Bielany,482,561991
10.14,112.1,1,Ursus,1566,1268181
11.4,58.3,10,Ursus,536,789990
8.43,20.0,8,Bemowo,360,250000
9.75,48.1,9,Bemowo,884,665851
12.6,78.9,4,Białołęka,930,763862
12.91,91.0,15,Wawer,963,1085270
4.18,67.9,13,Wola,674,1181732
12.48,83.2,6,Ursus,1137,893796
6.51,33.8,10,Praga-Południe,575,534013
0.59,42.8,10,Śródmieście,697,939190
2.09,24.8,1,Ochota,279,381442
12.09,44.1,8,Wawer,713,517832
3.44,68.7,15,Ochota,1058,1306149
9.16,58.8,12,Wilanów,808,944392
4.57,70.6,8,Żoliborz,923,1056205
5.59,38.1,3,Praga-Południe,494,530062
6.21,39.2,3,Praga-Południe,421,513198
14.44,58.7,5,Wawer,958,646700
10.51,44.2,9,Ursus,427,518250
6.34,78.4,9,Targówek,978,950425
12.16,43.7,9,Wawer,369,545163
4.7,46.1,5,Ochota,439,843708
13.81,62.5,11,Wawer,936,738429
6.49,48.0,0,Praga-Południe,841,717271
9.56,32.8,13,Targówek,576,461945
2.78,35.2,13,Wola,489,666799
6.46,64.7,8,Praga-Północ,1033,985412
14.98,30.5,1,Białołęka,381,264473
1.97,80.1,4,Mokotów,952,1411628
11.16,42.6,8,Bemowo,797,550691
12.08,66.1,3,Wawer,808,868071
8.76,43.7,10,Wilanów,700,649105
8.63,38.5,15,Bielany,627,640951
2.41,59.4,2,Żoliborz,824,982429
3.17,73.9,14,Praga-Północ,744,1252000
15.87,50.5,6,Białołęka,570,579668
14.67,53.8,5,Białołęka,846,517150
14.97,69.5,7,Białołęka,959,588023
13.21,70.1,2,Białołęka,687,748432
2.15,54.3,4,Ochota,783,957081
10.85,47.0,9,Wilanów,731,767559
11.12,56.5,3,Wilanów,755,827785
9.06,51.6,14,Targówek,1012,775048
9.25,60.6,12,Bemowo,675,681165
4.84,33.5,3,Praga-Południe,628,573363
16.93,60.0,3,Białołęka,590,552201
8.58,42.1,9,Bielany,447,552359
5.79,71.3,7,Praga-Południe,1115,1137893
9.8,42.9,5,Wilanów,683,585438
1.18,43.2,2,Śródmieście,824,951764
2.28,63.0,9,Śródmieście,705,1203183
8.23,55.3,4,Bielany,740,700735
9.03,96.0,5,Targówek,1594,1114520
10.18,25.7,4,Wilanów,401,435151
7.87,57.0,5,Bielany,634,668491
4.77,75.3,7,Ochota,1240,1139135
13.72,44.6,6,Wawer,543,517063
7.8,38.6,4,Bielany,567,590519
2.1,39.3,9,Wola,326,699907
6.41,26.0,5,Praga-Południe,372,469494
4.09,79.3,13,Praga-Północ,978,1256883
8.33,49.1,3,Ursynów,438,667329
6.99,46.9,11,Targówek,467,729672
8.49,20.0,8,Bielany,250,300662
10.66,29.2,12,Wilanów,338,502232
4.07,81.4,3,Żoliborz,878,1253717
0.3,60.5,0,Śródmieście,884,1170804
2.0,76.0,6,Wola,1125,1371531
9.46,73.7,6,Bemowo,889,924818
13.04,37.0,3,Białołęka,617,442421
11.69,98.7,12,Ursynów,934,1258523
10.51,90.1,13,Ursus,1171,1298502
5.09,44.9,2,Targówek,457,598893
3.96,20.0,7,Praga-Północ,371,301860
8.91,48.6,4,Ursynów,595,652268
9.33,59.3,15,Bielany,787,670402
4.35,44.8,9,Ochota,373,784675
0.3,51.0,6,Śródmieście,587,1090443
9.66,40.1,3,Wilanów,496,514083
1.39,71.6,3,Śródmieście,1271,1656126
6.4,56.1,7,Bemowo,823,836245
5.61,72.1,13,Ochota,903,1232665
13.0,77.0,7,Białołęka,1265,810873
11.7,20.0,1,Wilanów,356,250000
6.47,41.1,13,Praga-Południe,254,543210
5.76,43.8,1,Mokotów,514,700031
4.38,101.3,2,Wola,910,1451636
1.69,57.7,14,Śródmieście,957,1191782
5.31,69.6,11,Żoliborz,800,1115727
0.8,21.1,11,Śródmieście,339,421906
9.45,57.6,2,Ursynów,849,930939
0.3,72.6,0,Śródmieście,1224,1522390
7.59,70.5,14,Targówek,1018,1009173
3.36,66.2,13,Śródmieście,1106,1400898
4.03,55.2,2,Mokotów,631,978762
5.19,56.1,5,Mokotów,746,843693
14.14,24.5,7,Białołęka,254,282923
3.63,38.8,12,Praga-Północ,546,688311
6.62,59.2,11,Praga-Południe,827,816641
5.21,42.1,13,Żoliborz,683,784280
0.3,67.4,9,Śródmieście,781,1392320
1.12,63.4,5,Śródmieście,1042,1439972
1.7,79.6,4,Wola,1033,1569542
10.95,72.2,14,Wilanów,812,1042415
5.21,59.1,3,Mokotów,1181,1192368
4.6,68.5,15,Żoliborz,1100,1372046
14.79,73.1,2,Białołęka,599,756565
8.67,45.9,15,Bemowo,345,766640
5.1,49.1,12,Praga-Północ,745,860422
4.86,53.3,3,Praga-Południe,662,746826
5.69,46.4,13,Ochota,635,818301
5.34,73.3,6,Praga-Południe,491,1155210
5.96,43.7,0,Targówek,462,470743
8.61,77.5,6,Ursynów,957,898287
7.47,48.4,0,Targówek,871,606706
0.6,63.5,1,Śródmieście,935,1163138
11.28,58.0,14,Ursus,797,820963
5.32,37.4,3,Praga-Północ,479,584086
8.77,54.6,0,Ursynów,702,715485
3.67,61.0,10,Żoliborz,720,1026545
2.65,53.8,11,Ochota,577,915894
4.44,30.8,10,Mokotów,257,664667
1.73,85.6,14,Praga-Północ,1338,1333550
3.13,56.6,10,Praga-Północ,557,728664
9.49,40.7,8,Targówek,664,576237
10.01,84.2,11,Ursus,1213,1146710
1.75,66.1,5,Śródmieście,895,1422972
6.53,33.4,12,Bielany,607,496487
16.13,36.2,0,Białołęka,323,296100
10.21,51.0,0,Targówek,792,517667
4.71,60.4,5,Praga-Północ,839,865051
15.39,66.2,3,Wawer,1281,680678
3.43,72.1,3,Wola,801,1281797
4.92,64.7,15,Ochota,731,1009924
15.51,79.2,14,Białołęka,945,695950
8.22,57.3,10,Targówek,908,744081
2.14,41.3,14,Ochota,496,803160
3.95,54.9,5,Wola,667,997245
8.43,53.8,14,Bemowo,913,803678
2.52,20.0,13,Wola,250,254241
11.36,44.9,11,Ursus,776,534986
3.68,60.7,10,Wola,1033,1112531
4.18,47.4,6,Ochota,812,869761
6.76,43.4,8,Praga-Południe,438,597797
3.15,71.4,9,Ochota,798,1354186
7.95,38.5,15,Bielany,466,557371
2.02,67.8,4,Śródmieście,722,1409003
11.13,31.0,8,Ursynów,446,406532
8.55,104.7,3,Praga-Południe,1330,1371475
5.52,51.1,12,Mokotów,890,883532
10.01,49.2,9,Ursynów,600,588580
3.38,75.6,1,Śródmieście,1157,1612425
7.19,47.5,2,Targówek,687,630488
14.76,81.2,12,Białołęka,921,721028
8.92,61.7,10,Bielany,729,924149
9.74,52.9,0,Bielany,531,688333
3.64,50.9,13,Mokotów,989,897369
4.87,76.7,13,Praga-Południe,1155,1090408
11.03,59.1,5,Ursus,863,770892
10.45,62.8,12,Wilanów,1095,971033
10.35,64.7,5,Bemowo,913,623673
3.62,57.4,0,Wola,801,925284
5.82,64.4,10,Praga-Południe,890,970519
14.5,52.9,12,Białołęka,768,672934
9.36,54.1,2,Bemowo,679,629218
10.09,34.9,4,Bielany,451,457060
4.2,60.4,2,Ochota,1011,1125016
13.54,24.0,9,Białołęka,397,294568
1.54,60.1,2,Śródmieście,710,1164627
5.24,49.9,13,Mokotów,663,951385
0.3,61.7,9,Śródmieście,922,1243048
9.98,36.1,2,Wilanów,250,508892
13.88,20.0,4,Białołęka,344,303645
3.85,48.7,12,Żoliborz,933,764937
5.74,36.2,15,Żoliborz,473,670133
7.06,22.9,4,Targówek,348,335076
6.55,68.8,3,Praga-Południe,978,746202
7.82,83.8,0,Bielany,934,1191031
8.13,40.7,4,Bielany,643,447237
3.49,53.6,9,Wola,672,949708
1.43,49.5,15,Wola,738,1018668
3.23,43.1,4,Wola,535,752211
6.75,66.9,3,Ochota,921,909494
7.13,73.2,5,Ursynów,1032,1215447
3.93,39.4,9,Praga-Północ,365,529351
10.35,55.8,3,Ursynów,605,796614
1.36,78.1,13,Śródmieście,1369,1577909
9.83,67.4,6,Ursynów,1086,915713
1.15,70.1,6,Ochota,878,1276812
8.72,79.6,1,Targówek,599,967331
0.3,79.4,2,Śródmieście,1362,1801435
9.37,73.5,0,Ursynów,943,919747
3.96,57.6,7,Ochota,1056,1128981
6.73,48.1,8,Praga-Północ,683,640398
9.66,56.9,3,Ursynów,551,572781
3.86,45.4,5,Ochota,309,703670
8.19,20.0,8,Wilanów,381,292512
3.15,50.0,5,Wola,915,815852
10.99,61.4,13,Wilanów,1201,775717
7.9,44.4,11,Bielany,407,635954
2.39,51.5,11,Wola,762,897191
7.31,52.2,11,Bielany,569,716657
13.64,79.4,8,Wawer,1117,856060
5.91,48.5,14,Mokotów,707,899520
11.63,79.4,3,Wilanów,1242,891330
3.81,20.0,7,Mokotów,304,330547
5.63,79.3,8,Mokotów,833,1275918
3.85,78.4,3,Praga-Północ,1261,1117289
2.89,71.2,4,Wola,987,1369329
13.48,20.0,13,Wawer,250,250000
8.49,73.3,7,Bielany,1048,826853
4.63,54.1,11,Ochota,439,1037381
0.3,20.0,9,Śródmieście,445,426934
3.1,78.4,13,Ochota,1164,1364068
2.78,81.0,5,Śródmieście,1285,1756088
9.74,20.7,11,Wilanów,543,352945
4.87,58.2,6,Żoliborz,951,913591
5.27,80.0,2,Ochota,1095,1249650
9.56,77.1,6,Ursynów,1028,1042243
9.66,70.0,11,Ursynów,690,1054651
7.07,20.0,13,Praga-Południe,250,391825
0.46,68.1,7,Wola,940,1358023
0.41,51.1,9,Śródmieście,875,1047984
1.56,72.9,15,Śródmieście,1151,1535780
15.67,59.6,15,Białołęka,479,594449
8.08,54.6,5,Targówek,726,708862
1.99,66.5,14,Wola,1118,1284539
3.02,51.9,9,Praga-Północ,569,907708
7.06,54.6,8,Praga-Południe,862,761192
3.74,45.0,12,Praga-Północ,532,715400
9.99,26.1,5,Wilanów,440,490800
10.74,65.2,11,Wilanów,1103,938550
0.52,40.5,8,Praga-Północ,641,709705
6.4,51.4,12,Praga-Północ,692,721675
12.12,60.2,3,Wawer,1088,713729
3.29,20.0,7,Wola,385,446568
1.95,21.5,10,Praga-Północ,288,325580
8.49,49.6,3,Ursynów,763,537742
9.49,63.2,1,Targówek,1053,633132
5.7,68.4,9,Targówek,1005,782800
6.35,26.4,10,Mokotów,476,452634
4.17,66.5,8,Żoliborz,874,1202771
10.58,50.6,4,Wilanów,619,792679
1.79,39.1,3,Śródmieście,695,865561
14.53,43.3,1,Białołęka,514,351418
9.96,69.4,0,Ursus,1152,687373
0.56,59.9,10,Śródmieście,1022,1419703
2.75,55.9,6,Żoliborz,596,931207
14.59,59.4,5,Białołęka,827,463722
15.04,71.7,14,Wawer,978,820557
0.81,53.3,14,Wola,947,924946
3.09,56.0,1,Ochota,781,901303
2.78,75.5,15,Wola,960,1513768
1.21,49.0,7,Śródmieście,724,1039132
2.06,66.1,10,Śródmieście,1100,1441615
13.82,45.9,3,Białołęka,628,439199
13.62,47.5,7,Białołęka,423,475760
11.32,53.1,14,Wilanów,763,735516
13.79,64.3,15,Wawer,771,501184
10.65,76.5,6,Wilanów,1028,1135002
4.64,56.7,4,Żoliborz,921,858176
5.18,28.0,9,Praga-Północ,437,470433
2.21,66.4,9,Wola,936,1090942
13.05,99.2,11,Białołęka,1044,1184724
8.9,57.0,7,Bielany,891,864174
2.55,24.2,15,Żoliborz,410,399832
9.11,58.1,13,Ursynów,753,878473
12.62,54.9,8,Wawer,250,462715
0.3,53.4,4,Śródmieście,914,1163026
8.88,72.0,9,Wilanów,1027,1179087
4.37,79.8,4,Żoliborz,768,1336236
12.24,67.3,1,Ursus,989,896423
2.22,52.6,4,Wola,883,901229
15.46,75.3,2,Białołęka,759,678194
1.08,28.1,6,Śródmieście,343,726951
5.57,42.1,9,Ochota,668,821221
10.27,44.1,4,Ursus,742,390397
12.94,54.4,7,Wawer,1093,536404
4.94,64.1,0,Żoliborz,1075,956036
5.78,51.4,2,Praga-Południe,850,756123
2.14,38.7,2,Śródmieście,523,856783
0.35,72.5,8,Wola,926,1400340
7.91,50.8,4,Mokotów,555,722060
9.03,56.8,15,Bielany,678,811289
8.79,64.9,11,Bemowo,832,882160
10.34,55.7,8,Ursus,734,555046
2.96,55.8,12,Praga-Północ,802,812530
9.77,73.5,8,Bemowo,1061,1053773
4.19,57.7,0,Wola,798,783604
8.8,70.5,1,Ursynów,872,968691
11.33,64.8,4,Wilanów,909,1028037
7.91,91.3,3,Ursynów,1048,1276486
3.7,62.4,14,Mokotów,1064,1079328
13.18,66.5,9,Ursus,1101,897141
4.71,74.8,8,Praga-Północ,820,1016649
7.68,56.1,6,Praga-Południe,1056,651078
3.98,43.5,5,Mokotów,684,804146
9.89,46.5,6,Ursus,741,422986
7.57,46.6,0,Targówek,691,554097
8.01,37.9,0,Bemowo,450,399545
5.85,60.7,7,Mokotów,873,1079992
8.1,43.7,12,Bemowo,363,499818
0.3,58.5,12,Śródmieście,1009,1306190
9.17,52.1,1,Ursynów,773,628816
0.3,54.3,11,Śródmieście,741,1286061
5.84,65.0,9,Bielany,888,962963
8.16,45.2,10,Targówek,629,539584
1.9,66.5,8,Praga-Północ,696,1113029
6.93,83.2,6,Praga-Południe,836,1220761
11.33,61.2,5,Wawer,893,604365
6.31,40.9,0,Bemowo,653,560996
5.65,43.9,0,Praga-Południe,439,673570
9.17,50.5,1,Bemowo,538,596421
3.59,44.3,5,Wola,602,707192
5.21,37.2,13,Mokotów,589,668819
6.73,57.8,5,Bielany,582,744515
9.86,51.0,1,Ursynów,640,692633
14.15,58.4,0,Wawer,926,497752
12.55,76.4,9,Białołęka,724,713575
8.78,50.7,4,Bemowo,436,721917
5.67,33.7,4,Praga-Południe,605,365983
8.26,47.8,1,Bielany,525,697803
3.75,68.9,5,Ochota,801,1202489
12.92,67.2,15,Wawer,900,695756
4.77,64.3,8,Ochota,707,1128997
0.3,43.8,1,Śródmieście,538,943095
9.88,68.5,9,Ursynów,1036,940461
11.37,72.6,1,Wilanów,1229,1043862
11.96,42.5,15,Wilanów,604,670355
11.43,54.3,15,Białołęka,585,603857
2.78,91.4,2,Wola,1366,1579232
3.64,41.7,12,Praga-Południe,584,661322
8.08,24.3,6,Ursus,344,414470
14.17,79.9,5,Białołęka,1159,877832
4.52,75.5,11,Mokotów,1453,1324206
5.36,46.8,7,Mokotów,1004,763425
6.58,53.0,14,Praga-Południe,404,829466
12.5,33.0,7,Ursus,400,374165
4.06,56.6,5,Praga-Północ,1002,824585
6.51,76.0,11,Wola,892,1223849
8.37,45.2,10,Bielany,859,605730
11.21,70.8,9,Bemowo,1041,957070
8.2,63.3,2,Ursus,747,772762
11.62,65.4,15,Wilanów,574,961938
12.78,46.3,2,Wawer,703,555148
1.66,48.6,14,Praga-Północ,903,946364
9.5,21.8,0,Bemowo,344,250000
8.64,44.8,15,Bemowo,404,679683
4.7,75.9,15,Praga-Północ,1235,1280115
2.21,38.3,6,Śródmieście,555,709535
2.21,41.0,4,Ochota,568,703873
10.22,66.5,3,Bemowo,787,829147
4.01,62.2,9,Praga-Północ,716,1019677
12.62,67.4,14,Ursus,825,659848
3.75,34.1,3,Praga-Północ,255,540328
7.44,101.2,13,Targówek,1614,1287563
14.03,33.1,3,Białołęka,401,353829
4.62,57.8,5,Żoliborz,966,1007127
0.3,52.1,14,Śródmieście,673,1050601
8.4,33.6,7,Ursynów,250,451513
3.03,48.3,7,Żoliborz,544,727363
13.48,55.4,4,Białołęka,570,558237
14.81,43.3,14,Białołęka,409,326017
13.84,71.9,5,Białołęka,1254,688431
5.71,52.1,3,Żoliborz,686,724263
5.78,30.9,11,Praga-Południe,345,471387
2.28,29.3,13,Ochota,358,482223
4.72,65.9,10,Praga-Północ,775,961771
12.19,28.2,12,Wawer,269,262968
3.72,60.7,8,Ochota,879,902693
11.49,63.0,7,Wilanów,861,879627
9.61,37.1,9,Ursus,647,548502
3.2,71.0,11,Wola,1079,1418018
5.95,24.1,9,Praga-Południe,290,361115
9.84,60.3,0,Ursynów,703,780802
5.03,54.3,14,Ochota,713,1008450
13.32,52.9,1,Wawer,632,582134
4.57,33.8,8,Mokotów,795,632093
14.57,38.1,7,Białołęka,782,391748
10.6,84.1,13,Bemowo,850,1251519
9.97,76.9,2,Wilanów,1252,1007709
2.68,68.4,7,Wola,1159,1195520
1.47,71.9,11,Śródmieście,890,1545444
9.05,70.2,0,Ursynów,895,1002877
9.39,49.2,9,Ursus,773,617599
3.29,55.9,3,Wola,1064,933280
12.38,28.5,2,Białołęka,489,289516
9.45,53.4,5,Bemowo,646,642552
5.04,76.3,6,Praga-Południe,1074,1116398
9.04,43.1,3,Bemowo,621,467370
4.97,73.4,6,Żoliborz,1109,1258580
11.94,56.6,8,Bemowo,496,670949
5.39,30.1,10,Żoliborz,362,409814
11.64,35.1,1,Wilanów,582,464657
8.25,71.5,10,Praga-Południe,1451,1053859
11.59,64.9,2,Ursus,817,732972
8.34,56.8,4,Bielany,721,659437
12.72,50.1,2,Białołęka,589,560354
4.36,58.8,10,Żoliborz,889,902644
0.3,70.8,7,Śródmieście,933,1649463
8.52,81.6,11,Bemowo,1102,1286867
11.24,82.4,9,Bemowo,1431,1131775
1.14,61.7,7,Śródmieście,1057,1371540
9.95,51.9,7,Ursus,369,680025
6.65,57.6,11,Mokotów,841,728934
11.15,64.4,11,Wilanów,1012,964063
5.21,64.3,8,Praga-Północ,930,862994
5.59,78.5,3,Bielany,1108,1248231
11.34,93.1,4,Ursynów,769,883170
12.33,51.3,4,Wawer,840,635103
5.43,93.8,7,Żoliborz,1441,1501076
4.03,76.1,6,Śródmieście,982,1644650
15.59,53.2,8,Wawer,677,612654
4.83,82.0,14,Praga-Południe,896,1144740
9.27,85.3,14,Ursus,1242,1148882
6.22,46.7,15,Żoliborz,687,829038
4.17,86.2,13,Praga-Północ,1423,1467895
12.4,74.4,7,Wawer,1087,962452
6.75,97.6,1,Praga-Południe,1176,1171565
2.8,47.4,9,Wola,371,796707
14.84,48.6,11,Białołęka,564,549137
9.08,20.0,3,Bemowo,325,250000
3.87,65.3,5,Wola,941,1007478
3.43,61.8,11,Żoliborz,930,1103431
5.71,44.9,1,Praga-Północ,503,552996
8.84,53.5,6,Bielany,697,828095
13.78,31.4,15,Wawer,383,294719
8.66,76.6,2,Wilanów,1064,1098282
16.04,46.2,12,Białołęka,751,524804
4.48,110.7,2,Żoliborz,1348,1581998
11.87,51.8,10,Ursus,708,533712
0.61,41.3,1,Śródmieście,570,902567
10.31,47.6,10,Wilanów,859,628082
10.36,29.6,7,Wilanów,475,468649
6.62,63.7,5,Wilanów,809,945543
4.7,47.4,0,Ochota,971,700435
6.86,75.4,11,Żoliborz,937,1375078
14.65,50.1,0,Białołęka,818,466899
7.85,79.9,6,Bemowo,1279,1092554
9.78,68.6,15,Bemowo,791,808123
5.77,55.5,7,Żoliborz,921,952081
6.61,83.4,4,Praga-Południe,1190,1304602
3.91,72.1,15,Ochota,614,1246028
0.71,108.0,11,Śródmieście,1734,2624069
9.7,47.6,15,Wilanów,626,777916
10.84,56.4,10,Wilanów,873,969113
2.81,83.2,4,Żoliborz,1139,1482588
5.55,27.2,3,Praga-Południe,536,452000
10.91,78.7,13,Bemowo,1417,1112809
10.96,62.9,5,Bemowo,1353,956756
2.23,39.0,13,Praga-Północ,806,706236
3.14,30.5,5,Żoliborz,538,476036
3.68,42.9,2,Ochota,523,742409
6.07,20.0,15,Mokotów,486,397163
1.81,46.2,8,Ochota,822,834189
10.93,66.2,11,Ursus,704,883737
8.43,46.4,10,Bemowo,397,460031
10.59,80.0,13,Bemowo,611,923520
0.99,84.9,6,Wola,1265,1417838
9.11,78.0,15,Bemowo,1231,1118128
0.53,59.2,0,Śródmieście,788,1125959
